Taxa,St5-St6,St3-St4,St53-St54,St15-St16
Leiostomus xanthurus,0,29832,12029,0
Pomatomus saltatrix,6,0,0,0
Lagodon rhomboides,0,0,1902,0
Brevoortia,0,0,41206,18259
Cynoscion nothus,0,0,960,0
Cynoscion regalis,0,0,0,0
Synodus foetens,132,0,0,0
Xyrichtys novacula,0,0,0,0
Symphurus plagiusa,0,0,0,0
Stephanolepis,0,0,0,0
Myrophis punctatus,1707,0,0,0
Symphurus,0,0,0,0
Trichiurus lepturus,0,0,0,0
Callinectes sapidus,0,0,0,0
Ovalipes ocellatus,0,0,0,0
Hexapanopeus angustifrons,0,0,0,0
Achelous spinimanus,0,0,0,0
Penaeus,0,0,0,0
Arenaeus cribrarius,0,0,0,0
Squilla empusa,0,0,0,0
Callinectes similis,0,0,0,0
Penaeus setiferus,0,0,0,0
Achelous gibbesii,0,0,0,0
Ovalipes,0,0,0,0
Rimapenaeus constrictus,0,0,0,0
Pinnixa,0,0,0,0
Clibanarius vittatus,0,0,0,0
Pinnixulala retinens,0,0,0,0
