,NC73,NC48,NC23,NC47,NC38,NC70,NC93,NC68,NC94,NC96
Leiostomus xanthurus,0,12,0,0,0,0,0,337,1779,0
Pomatomus saltatrix,0,0,0,0,0,0,0,0,0,0
Lagodon rhomboides,0,0,0,0,0,0,0,0,0,0
Brevoortia,0,0,0,0,0,0,0,0,0,0
Cynoscion nothus,0,0,0,0,0,0,0,0,0,0
Cynoscion regalis,0,0,0,0,0,0,0,0,0,0
Synodus foetens,0,0,0,0,0,0,0,0,0,0
Xyrichtys novacula,0,0,0,0,0,0,0,0,0,0
Symphurus plagiusa,0,0,0,0,0,0,0,0,0,0
Stephanolepis,0,1,0,0,0,0,0,0,0,0
Myrophis punctatus,0,0,0,0,0,0,0,0,0,0
Symphurus,0,1,0,0,0,0,0,0,0,0
Trichiurus lepturus,0,0,0,0,0,0,0,0,0,0
Callinectes sapidus,4920,4369,6490,9911,32336,24722,149237,24534,4,21536
Ovalipes ocellatus,0,0,0,0,0,0,0,0,0,0
Hexapanopeus angustifrons,0,0,0,0,0,0,0,0,0,0
Achelous spinimanus,0,0,0,0,0,0,0,0,0,0
Penaeus,0,0,0,1,2,1,11,1261,1116,0
Arenaeus cribrarius,0,0,0,0,0,0,0,0,0,0
Squilla empusa,0,0,0,8466,0,4531,0,0,0,0
Callinectes similis,0,0,0,0,0,0,112165,0,0,0
Penaeus setiferus,0,0,0,0,0,0,214,0,0,0
Achelous gibbesii,0,0,109,170,49,0,0,0,0,0
Ovalipes,0,0,0,0,0,0,0,638,0,0
Rimapenaeus constrictus,0,0,0,0,0,0,0,0,0,0
Pinnixa,0,0,0,0,0,0,0,0,0,0
Clibanarius vittatus,0,0,0,0,0,0,0,0,0,0
Pinnixulala retinens,0,0,0,0,0,0,0,0,0,0
