Sample_type,Number_of_reads
Fecal,4920
Fecal,4383
Fecal,6599
Fecal,18548
Fecal,32387
Fecal,29254
Fecal,261627
Fecal,26770
Fecal,1916
Fecal,1
Fecal,42
Fecal,26
Fecal,15156
Fecal,7330
Fecal,2
Fecal,9440
Fecal,17661
Fecal,14541
Fecal,1
Fecal,25372
Fecal,11
Fecal,2899
Fecal,21536
Stomach,60892
Stomach,41631
Stomach,36284
Stomach,47065
Stomach,66251
Stomach,50531
Stomach,67161
Stomach,34018
Stomach,26366
Stomach,34029
Stomach,95884
Stomach,67
Stomach,31644
Stomach,1845
Stomach,29832
Stomach,56097
Stomach,18259
Stomach,19939
Stomach,183
Stomach,29270
Stomach,73382
Stomach,45636
Stomach,30031
