Sample,Shark,material,genus,Shannon,Simpson,ASVs,SharkSpecies
NC2,Shark2,fecal,1,0,0,1,AtlanticSharpnose
St13,Shark2,stomach,2,0.077715517,0.029472603,2,AtlanticSharpnose
NC23,Shark23,fecal,2,0.083906194,0.032370626,2,Bonnethead
St11,Shark23,stomach,3,0.008339466,0.001993299,4,Bonnethead
NC3,Shark3,fecal,1,0,0,1,AtlanticSharpnose
St45.St46,Shark3,stomach,4,0.551335523,0.265812996,5,AtlanticSharpnose
NC36,Shark36,fecal,1,0,0,2,Blacktip
St15.St16,Shark36,stomach,1,0,0,1,Blacktip
NC38,Shark38,fecal,2,0.01122637,0.002987545,3,Bonnethead
St1,Shark38,stomach,4,0.012627965,0.002988816,5,Bonnethead
NC47,Shark47,fecal,3,0.735762222,0.50597813,4,Bonnethead
St57.St58,Shark47,stomach,4,0.608921365,0.377090889,5,Bonnethead
NC48,Shark48,fecal,4,0.021653837,0.005968951,4,Bonnethead
St29.St30,Shark48,stomach,2,0.190708332,0.090258811,2,Bonnethead
NC5,Shark5,fecal,1,0,0,1,Blacknose
St39.St40,Shark5,stomach,3,0.117824364,0.043093624,3,Blacknose
NC6,Shark6,fecal,3,0.592877367,0.400009825,3,AtlanticSharpnose
St47.St48,Shark6,stomach,1,0,0,1,AtlanticSharpnose
NC61,Shark61,fecal,1,0,0,1,AtlanticSharpnose
St43.St44,Shark61,stomach,1,0,0,2,AtlanticSharpnose
NC68,Shark68,fecal,4,0.367762078,0.156987893,4,Bonnethead
St21,Shark68,stomach,2,0.028745807,0.008937258,3,Bonnethead
NC7,Shark7,fecal,2,0.693147181,0.5,2,Blacktip
St3.St4,Shark7,stomach,1,0,0,1,Blacktip
NC70,Shark70,fecal,2,0.431149599,0.261839881,3,Bonnethead
St23.St24,Shark70,stomach,4,0.520560885,0.277058219,4,Bonnethead
NC73,Shark73,fecal,1,0,0,1,Bonnethead
St27.St28,Shark73,stomach,1,0,0,1,Bonnethead
NC8,Shark8,fecal,4,0.700466612,0.495750638,4,Blacktip
St5.St6,Shark8,stomach,3,0.279483305,0.138886064,3,Blacktip
NC82,Shark82,fecal,2,0.178039883,0.082700564,2,AtlanticSharpnose
St7.St8,Shark82,stomach,3,0.736827378,0.430087751,4,AtlanticSharpnose
NC85,Shark85,fecal,2,0.304670891,0.165313983,2,Blacknose
St49.St50,Shark85,stomach,1,0,0,1,Blacknose
NC86,Shark86,fecal,4,0.759082583,0.371130388,4,Blacknose
St51.St52,Shark86,stomach,6,0.757787899,0.389948612,7,Blacknose
NC87,Shark87,fecal,2,0.488135851,0.30943719,2,Blacknose
St38,Shark87,stomach,3,0.883919144,0.512172549,4,Blacknose
NC88,Shark88,fecal,2,0.001612715,0.000332392,2,Blacktip
St53.St54,Shark88,stomach,4,0.741175814,0.413026754,4,Blacktip
NC93,Shark93,fecal,2,0.006725668,0.001660853,4,Bonnethead
St35.St36,Shark93,stomach,1,0,0,2,Bonnethead
NC94,Shark94,fecal,3,0.675935225,0.475169937,3,Bonnethead
St31.St32,Shark94,stomach,2,0.001612715,0.000332392,4,Bonnethead
NC96,Shark96,fecal,1,0,0,1,Bonnethead
St17,Shark96,stomach,1,0,0,1,Bonnethead
