Sample,Shark,material,species,Shannon,Simpson,SharkSpecies
NC2,Shark2,fecal,1,0,0,AtlanticSharpnose
St13,Shark2,stomach,2,0.077715517,0.029472603,AtlanticSharpnose
NC23,Shark23,fecal,2,0.083906194,0.032370626,Bonnethead
St11,Shark23,stomach,3,0.008339466,0.001993299,Bonnethead
NC3,Shark3,fecal,1,0,0,AtlanticSharpnose
St45.St46,Shark3,stomach,4,0.551335523,0.265812996,AtlanticSharpnose
NC36,Shark36,fecal,1,0,0,Blacktip
St15.St16,Shark36,stomach,1,0,0,Blacktip
NC38,Shark38,fecal,2,0.01122637,0.002987545,Bonnethead
St1,Shark38,stomach,4,0.012627965,0.002988816,Bonnethead
NC47,Shark47,fecal,3,0.735762222,0.50597813,Bonnethead
St57.St58,Shark47,stomach,4,0.608921365,0.377090889,Bonnethead
NC48,Shark48,fecal,4,0.021653837,0.005968951,Bonnethead
St29.St30,Shark48,stomach,2,0.190708332,0.090258811,Bonnethead
NC5,Shark5,fecal,1,0,0,Blacknose
St39.St40,Shark5,stomach,3,0.117824364,0.043093624,Blacknose
NC6,Shark6,fecal,3,0.592877367,0.400009825,AtlanticSharpnose
St47.St48,Shark6,stomach,1,0,0,AtlanticSharpnose
NC61,Shark61,fecal,1,0,0,AtlanticSharpnose
St43.St44,Shark61,stomach,1,0,0,AtlanticSharpnose
NC68,Shark68,fecal,4,0.367762078,0.156987893,Bonnethead
St21,Shark68,stomach,2,0.028745807,0.008937258,Bonnethead
NC7,Shark7,fecal,2,0.693147181,0.5,Blacktip
St3.St4,Shark7,stomach,1,0,0,Blacktip
NC70,Shark70,fecal,2,0.431149599,0.261839881,Bonnethead
St23.St24,Shark70,stomach,4,0.520560885,0.277058219,Bonnethead
NC73,Shark73,fecal,1,0,0,Bonnethead
St27.St28,Shark73,stomach,1,0,0,Bonnethead
NC8,Shark8,fecal,4,0.700466612,0.495750638,Blacktip
St5.St6,Shark8,stomach,3,0.279483305,0.138886064,Blacktip
NC82,Shark82,fecal,2,0.178039883,0.082700564,AtlanticSharpnose
St7.St8,Shark82,stomach,3,0.736827378,0.430087751,AtlanticSharpnose
NC85,Shark85,fecal,2,0.304670891,0.165313983,Blacknose
St49.St50,Shark85,stomach,1,0,0,Blacknose
NC86,Shark86,fecal,4,0.759082583,0.371130388,Blacknose
St51.St52,Shark86,stomach,7,0.760592958,0.389970274,Blacknose
NC87,Shark87,fecal,2,0.488135851,0.30943719,Blacknose
St38,Shark87,stomach,4,0.91563114,0.51460224,Blacknose
NC88,Shark88,fecal,2,0.001612715,0.000332392,Blacktip
St53.St54,Shark88,stomach,4,0.741175814,0.413026754,Blacktip
NC93,Shark93,fecal,3,0.689202363,0.490778082,Bonnethead
St35.St36,Shark93,stomach,2,0.693094074,0.499946895,Bonnethead
NC94,Shark94,fecal,3,0.675935225,0.475169937,Bonnethead
St31.St32,Shark94,stomach,2,0.001612715,0.000332392,Bonnethead
NC96,SHark96,fecal,1,0,0,Bonnethead
St17,Shark96,stomach,1,0,0,Bonnethead
